Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-10-23,Aston Villa,Brentford,4,0,H,11,3,0,0,27,28,33,121,1,37,40,33,110,2,2,4,6,20,0,8,6,4,12,0,A
2022-10-23,Leeds,Fulham,2,3,A,5,5,0,0,24,26,48,93,3,24,26,41,94,1,12,11,8,35,0,3,8,11,31,0,H
2022-10-23,Southampton,Arsenal,1,1,D,3,3,0,0,22,23,48,102,0,54,49,32,139,1,6,3,9,23,0,9,9,3,27,0,A
2022-10-23,Wolves,Leicester,0,4,A,5,4,0,0,20,20,39,85,2,30,40,40,101,0,7,4,4,13,0,7,4,4,27,0,A
2022-10-23,Tottenham,Newcastle,1,2,A,5,5,0,0,55,60,20,144,1,45,36,26,125,0,13,18,8,25,0,1,8,18,10,2,H
2022-10-24,West Ham,Bournemouth,2,0,H,4,3,0,0,27,27,32,90,1,23,21,48,65,3,6,11,8,27,0,6,8,11,25,0,H
2022-10-29,Leicester,Man City,0,1,A,5,5,0,0,30,43,40,101,0,59,78,23,164,0,0,6,16,20,0,15,16,6,38,0,A
2022-10-29,Bournemouth,Tottenham,2,3,A,4,7,0,0,23,20,48,66,2,52,57,22,138,1,1,3,12,12,0,13,12,3,37,0,A
2022-10-29,Brentford,Wolves,1,1,D,3,4,0,1,36,40,37,111,2,20,19,41,88,2,6,6,4,8,2,6,4,6,4,0,H
2022-10-29,Brighton,Chelsea,4,1,H,9,7,0,0,33,32,33,113,0,48,44,26,126,2,5,4,4,18,1,5,4,4,20,0,A
