Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,HomeTeamRatingLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,AwayTeamRatingLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5,FTR_Prediction
2022-10-15,Tottenham,Everton,2,0,H,7,0,0,0,55,61,21,142,1,23.800000000000004,27,23,37,83,5,13.7,9,12,2,17,0,40,3,2,12,11,2,0,H
2022-10-16,Aston Villa,Chelsea,0,2,A,7,4,0,0,27,28,30,110,0,10.800000000000004,47,44,27,126,2,20.4,3,4,13,17,0,20,12,13,4,23,1,80,A
2022-10-16,Leeds,Arsenal,0,1,A,4,4,0,0,25,29,51,95,3,12.100000000000003,54,50,33,143,1,24.6,0,6,16,13,2,0,15,16,6,47,0,100,A
2022-10-16,Man United,Newcastle,0,0,D,2,2,0,0,38,35,42,123,0,16.200000000000003,45,37,27,124,0,17.700000000000003,11,13,5,29,0,60,2,5,13,28,0,0,A
2022-10-16,Southampton,West Ham,1,1,D,8,4,0,0,22,25,50,105,0,5.700000000000002,29,27,31,87,1,12.000000000000002,8,6,7,23,0,40,5,7,6,23,2,20,H
2022-10-16,Liverpool,Man City,1,0,H,2,6,0,0,57,59,20,159,1,18.20000000000001,60,78,22,166,0,27.40000000000001,4,9,12,19,0,0,7,12,9,21,0,20,H
2022-10-18,Brighton,Nottingham,0,0,D,7,0,0,0,35,33,32,113,1,17.1,5,7,23,27,0,3.5000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-18,Crystal Palace,Wolves,2,1,H,4,4,0,0,34,29,24,105,0,14.200000000000005,23,21,38,84,2,8.700000000000001,15,9,0,30,0,100,0,0,9,18,0,0,H
2022-10-19,Bournemouth,Southampton,0,1,A,3,3,0,0,23,22,49,65,3,14.000000000000004,20,23,49,103,0,6.300000000000001,6,5,4,20,0,20,6,4,5,24,0,20,H
2022-10-19,Brentford,Chelsea,0,0,D,5,5,0,0,36,40,35,107,2,15.500000000000004,50,46,26,129,2,21.8,6,8,4,26,0,50,6,4,8,18,0,50,A
2022-10-19,Liverpool,West Ham,1,0,H,7,3,0,0,57,57,19,154,1,19.300000000000004,30,28,31,90,1,11.700000000000005,9,9,7,25,0,60,6,7,9,18,0,40,H
2022-10-19,Newcastle,Everton,1,0,H,4,0,0,0,43,36,27,124,0,17.400000000000006,27,23,37,83,5,12.6,9,8,4,33,0,60,6,4,8,15,2,40,H
2022-10-19,Man United,Tottenham,2,0,H,10,2,0,0,36,34,42,122,0,16.3,55,60,19,144,1,24.90000000000001,15,15,5,27,0,100,0,5,15,9,0,0,A
