Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,36,38,66,143,6,57,55,67,190,2,9,7,5,13,0,3,5,7,25,0,A
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,43,49,57,169,2,0,0,0,0,0,0,0,0,0,0,D
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,44,54,67,172,2,52,48,48,169,2,0,0,6,14,0,12,6,0,14,0,H
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,48,68,71,184,0,51,54,49,170,1,11,10,7,21,0,2,7,10,16,0,A
2022-10-15,Fulham,Bournemouth,2,2,D,4,6,0,0,35,34,57,142,3,41,39,72,118,3,0,0,3,1,1,3,3,0,5,0,H
2022-10-15,Wolves,Nottingham,1,0,H,2,2,0,0,48,36,49,137,3,5,7,22,25,0,0,0,0,0,0,0,0,0,0,0,A
2022-10-15,Tottenham,Everton,2,0,H,7,0,0,0,79,83,40,221,1,35,38,67,143,6,9,12,2,17,0,3,2,12,11,2,H
2022-10-16,Aston Villa,Chelsea,0,2,A,7,4,0,0,44,49,56,168,2,77,77,41,215,2,3,4,13,17,0,12,13,4,23,1,A
2022-10-16,Leeds,Arsenal,0,1,A,4,4,0,0,44,47,77,160,3,83,79,48,229,3,0,6,16,13,2,15,16,6,47,0,A
2022-10-16,Man United,Newcastle,0,0,D,2,2,0,0,60,57,67,190,2,60,53,55,175,1,11,13,5,29,0,2,5,13,28,0,A
2022-10-16,Southampton,West Ham,1,1,D,8,4,0,0,43,46,74,174,1,55,54,51,154,2,8,6,7,23,0,5,7,6,23,2,A
2022-10-16,Liverpool,Man City,1,0,H,2,6,0,0,88,99,34,256,2,102,118,32,282,1,4,9,12,19,0,7,12,9,21,0,D
2022-10-18,Brighton,Nottingham,0,0,D,7,0,0,0,51,48,50,174,2,5,7,23,27,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-18,Crystal Palace,Wolves,2,1,H,4,4,0,0,51,52,47,167,1,48,34,47,135,3,15,9,0,30,0,0,0,9,18,0,H
2022-10-19,Bournemouth,Southampton,0,1,A,3,3,0,0,42,40,72,120,3,41,46,75,177,1,6,5,4,20,0,6,4,5,24,0,D
2022-10-19,Brentford,Chelsea,0,0,D,5,5,0,0,47,56,66,168,2,77,76,40,210,2,6,8,4,26,0,6,4,8,18,0,A
2022-10-19,Liverpool,West Ham,1,0,H,7,3,0,0,90,98,32,254,2,53,54,52,154,2,9,9,7,25,0,6,7,9,18,0,H
2022-10-19,Newcastle,Everton,1,0,H,4,0,0,0,61,51,52,176,0,35,38,68,141,6,9,8,4,33,0,6,4,8,15,2,H
