Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20,FTR_Prediction
2023-02-11,West Ham,Chelsea,1,1,D,2,4,0,0,19,18,24,78,0,27,21,21,76,3,0.0256466534414785,0.0099538338147047,0.2823071805763852,1.1437029403891703,0.0,0.2251986949251373,0.4184116432420209,0.5315841892771431,0.7516547548067976,0.0480000000013107,H
2023-02-11,Arsenal,Brentford,1,1,D,7,2,0,0,50,45,17,110,0,32,33,26,87,0,0.7498079590373393,0.5879517606320801,0.0821156045259905,0.7439887385103224,0.0,0.6105744438639513,0.8912035901452111,0.1304448878850867,1.6475490048905472,0.0,H
2023-02-11,Crystal Palace,Brighton,1,1,D,1,7,0,0,24,19,27,75,2,34,38,27,113,0,0.3219625698266186,0.3376906527378087,0.2737416246345282,0.9855408990467708,3.276800000000002e-10,0.6690049172487066,0.4182784396029959,0.200810051562478,1.1044754256822378,0.0,A
2023-02-11,Fulham,Nottingham,2,0,H,3,1,0,0,30,30,28,87,1,24,17,33,66,0,0.6249644242934276,0.6586437686814312,0.4921397346647933,1.95114458669152,6.400000000000002e-05,0.6400027251620761,0.2407705822906915,0.06680629422331,1.4107992617480567,0.0,H
2023-02-11,Leicester,Tottenham,4,1,H,7,4,0,0,20,30,35,80,0,35,35,28,108,2,3.928358920388609e-05,0.4488220486927804,0.8995891242093721,0.4850331724235669,0.0,0.7338061440812896,0.2932020915672816,0.010433280806486,1.131770027819328,6.400000001048579e-05,A
2023-02-11,Southampton,Wolves,1,2,A,2,2,0,1,15,16,34,78,0,20,14,28,64,3,0.3248008396807864,0.4832134359028859,0.450020380457388,0.9716652860915688,0.0,0.2105615401964326,0.0083206202015403,0.0482255736420696,0.3591618769635089,6.400491520000002e-05,H
2023-02-11,Bournemouth,Newcastle,1,1,D,5,7,0,0,14,17,43,66,0,37,32,12,94,0,0.0026449924915724,0.0010301551411724,0.9927077430079628,0.2603785035639371,0.0,0.2484309759841377,0.1297281632832166,0.1312793812992105,0.4937129286399375,0.0,D
2023-02-12,Leeds,Man United,0,2,A,6,5,0,0,16,26,35,78,2,43,35,22,107,1,0.3216640737675942,0.522253064779879,0.411229527752122,1.266047119602714,6.400081920000003e-05,0.7490133145565634,0.453893765806812,0.2035845775447241,1.0684706852700896,5.2428800000000056e-14,A
2023-02-12,Man City,Aston Villa,3,1,H,9,2,0,0,42,51,21,120,1,28,25,29,86,1,0.6693584614728927,0.9621993772245584,0.1363590203341642,1.856280090991028,4.096000000000002e-09,0.6005274244110353,0.4419866447530636,0.3315239086669588,1.02941114751416,1.0240000000000007e-07,H
2023-02-13,Liverpool,Everton,2,0,H,6,1,0,0,29,34,28,117,1,18,16,27,69,0,0.2458386462671372,0.4630841407386419,0.4563661096991117,1.021731211518348,0.04,0.050150465542585,0.2496922214809049,0.4496190486078816,1.18035726160352,0.0,H
2023-02-15,Arsenal,Man City,1,3,A,1,6,0,0,48,44,18,115,0,42,50,22,122,1,0.7490397951867068,0.9397588031604104,0.4105780226299632,1.7199436925516856,0.0,0.346792307364494,0.8109968861228225,0.6817951016708317,2.2814004549552336,2.048000000000001e-08,H
2023-02-18,Aston Villa,Arsenal,2,4,A,5,5,0,0,25,24,31,84,1,45,41,19,109,0,0.0026371220551761,0.2099332237653285,0.6576195433348256,1.1470557375708217,5.120000000000002e-07,0.7451989759335336,0.6987940158020624,0.0528901131498474,1.5997184627584378,0.0,A
2023-02-18,Brentford,Crystal Palace,1,1,D,5,4,0,0,30,30,27,82,0,24,19,27,73,2,0.0528722193197668,0.456017950726066,0.6522244394254442,1.2377450244527568,0.0,0.6098128491331034,0.6884532636890537,0.3687081231726516,1.927704495233864,1.638400000000001e-09,H
2023-02-18,Brighton,Fulham,0,1,A,7,2,0,0,32,37,27,116,0,30,29,26,81,1,0.3450245862435429,0.0913921980149897,0.0040502578124003,1.522377128411262,0.0,0.1248221214671687,0.2932188434071762,0.4606986733239665,0.7557229334576288,0.00032,H
2023-02-18,Chelsea,Southampton,0,1,A,5,5,0,0,27,20,20,77,3,14,15,34,76,0,0.1259934746256972,0.0920582162101148,0.6579209463857258,0.7582737740340293,0.2400000000065536,0.6240041984039323,0.4160671795144399,0.2501019022869607,0.8583264304578639,0.0,H
2023-02-18,Everton,Leeds,1,0,H,6,0,0,0,18,15,27,66,0,15,24,35,79,2,0.2507523277129253,0.2484611074045247,0.2480952430394291,1.9017863080176096,0.0,0.6083203688379712,0.6112653238993946,0.0561476387606311,1.3302355980136324,0.000320004096,D
2023-02-18,Nottingham,Man City,1,1,D,1,6,0,0,21,16,35,61,0,44,50,20,118,1,0.2000136258103804,0.2038529114534576,0.3340314711165711,1.0539963087402933,0.0,0.7339615368225019,1.0549844306141434,0.4089755083541683,1.4070022747762303,1.0240000000000007e-07,A
2023-02-18,Wolves,Bournemouth,0,1,A,4,1,0,0,22,16,29,65,4,15,18,40,70,0,0.0528077009821945,0.0416031010077225,0.2411278682103585,0.7958093848175655,0.0003200245760104,0.0132249624578726,0.0051507757058726,0.9635387150398236,0.3018925178197377,0.0,H
2023-02-18,Newcastle,Liverpool,0,2,A,4,7,1,0,37,33,13,100,0,31,34,26,119,1,0.2421548799206988,0.6486408164160937,0.656396906496063,1.4685646431997608,0.0,0.2291932313357176,0.3154207036932306,0.2818305484955583,1.1086560575918023,0.2,H
2023-02-19,Man United,Leicester,3,0,H,8,3,0,0,43,35,21,108,1,23,32,32,85,0,0.745066572782848,0.2694688290340812,0.0179228877236207,1.3423534263504997,2.621440000000003e-13,0.0001964179460508,0.2441102434639439,0.4979456210468707,0.4251658621179082,0.0,H
2023-02-19,Tottenham,West Ham,2,0,H,6,1,0,0,32,35,32,108,2,20,19,24,75,0,0.6690307204064478,0.4660104578364185,0.052166404032472,1.6588501390966812,0.0003200000000524,0.1282332672074029,0.0497691690735344,0.4115359028819368,0.7185147019458722,0.0,H
