Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob,FTR_Prediction
2022-10-15,Fulham,Bournemouth,2,2,D,4,6,0,0,16,20,38,68,1,22,16,39,45,2,0,0,3,1,1,3,3,0,5,0,0.6137718126889072,0.2019464176823958,0.1842817696286967,H
2022-10-15,Wolves,Nottingham,1,0,H,2,2,0,0,17,17,32,71,2,5,7,22,25,0,0,0,0,0,0,0,0,0,0,0,0.4988560582980422,0.3023338508370352,0.1988100908649224,H
2022-10-15,Tottenham,Everton,2,0,H,7,0,0,0,46,47,15,114,1,24,22,28,76,3,19,23,6,47,1,7,6,23,23,2,0.7739819379661478,0.1334888366101923,0.0925292254236599,H
2022-10-16,Aston Villa,Chelsea,0,2,A,7,4,0,0,18,19,28,86,0,37,36,25,107,2,4,7,24,28,1,25,24,7,53,1,0.2200910743345883,0.2481596189621335,0.5317493067032781,A
2022-10-16,Leeds,Arsenal,0,1,A,4,4,0,0,24,24,31,76,3,42,41,27,116,1,4,11,31,33,2,25,31,11,89,1,0.2170505714299359,0.2774815259722067,0.5054679025978572,A
2022-10-16,Man United,Newcastle,0,0,D,2,2,0,0,27,26,38,91,0,32,29,24,100,0,20,24,11,72,0,8,11,24,47,0,0.2976952819996981,0.2711681363701071,0.4311365816301946,H
2022-10-16,Southampton,West Ham,1,1,D,8,4,0,0,12,17,43,70,0,21,22,27,73,1,12,10,16,40,0,15,16,10,47,3,0.2781453499362213,0.2785929343382867,0.4432617157254918,A
2022-10-16,Liverpool,Man City,1,0,H,2,6,0,0,42,44,18,114,1,50,68,18,133,0,12,17,22,39,1,12,22,17,39,0,0.3009954626177851,0.1880177179478127,0.510986819434402,A
2022-10-18,Brighton,Nottingham,0,0,D,7,0,0,0,32,30,23,98,0,5,7,23,27,0,0,0,0,0,0,0,0,0,0,0,0.6819737042054125,0.1989127843439471,0.1191135114506403,H
2022-10-18,Crystal Palace,Wolves,2,1,H,4,4,0,0,28,23,20,88,0,17,14,32,68,2,16,10,4,40,1,7,4,10,29,1,0.5880261135012963,0.2371432680250199,0.1748306184736839,H
2022-10-19,Bournemouth,Southampton,0,1,A,3,3,0,0,23,18,38,51,2,13,17,42,73,0,9,8,9,31,0,12,9,8,35,1,0.4103410726690628,0.3082196881088697,0.2814392392220675,H
2022-10-19,Brentford,Chelsea,0,0,D,5,5,0,0,32,36,28,94,1,37,35,24,104,2,6,8,4,26,0,6,4,8,18,0,0.4353510084236488,0.2089323859846321,0.355716605591719,H
2022-10-19,Liverpool,West Ham,1,0,H,7,3,0,0,42,44,18,111,1,22,23,27,72,1,24,25,10,62,0,6,10,25,32,0,0.7178878667472799,0.1742957164946066,0.1078164167581134,H
2022-10-19,Newcastle,Everton,1,0,H,4,0,0,0,33,29,23,100,0,24,21,28,74,2,14,14,11,51,0,14,11,14,40,2,0.5563078201862113,0.2255821029843638,0.2181100768294249,H
2022-10-19,Man United,Tottenham,2,0,H,10,2,0,0,27,26,38,90,0,46,47,15,114,1,21,19,17,47,1,9,17,19,37,0,0.1793499699890272,0.1918173513566924,0.6288326786542804,A
2022-10-20,Fulham,Aston Villa,3,0,H,8,6,0,1,14,21,40,69,1,18,18,28,86,0,13,10,12,68,0,13,12,10,50,0,0.2793938112097185,0.3319814430555779,0.3886247457347035,H
2022-10-20,Leicester,Leeds,2,0,H,1,2,0,0,20,34,36,86,0,24,24,31,76,3,15,17,13,59,0,12,13,17,56,1,0.5439854966288743,0.1988290637154862,0.2571854396556394,H
2022-10-22,Nottingham,Liverpool,1,0,H,7,7,0,0,6,7,23,27,0,42,43,18,109,1,0,0,0,0,0,0,0,0,0,0,0.12164480693919,0.1801037250788665,0.6982514679819434,A
2022-10-22,Everton,Crystal Palace,3,0,H,6,2,0,0,24,19,26,70,2,28,23,21,84,0,20,19,14,56,1,8,14,19,40,0,0.3252905476398924,0.3321327818018501,0.3425766705582574,A
2022-10-22,Man City,Brighton,3,1,H,4,2,0,0,47,64,18,129,0,33,30,21,102,0,27,28,6,73,1,3,6,28,27,0,0.7392343696172794,0.1465806741015824,0.1141849562811382,D
2022-10-22,Chelsea,Man United,1,1,D,2,6,0,0,35,34,24,106,2,30,27,34,98,0,7,7,14,52,0,16,14,7,35,0,0.5036753702230499,0.2839397840740443,0.2123848457029057,H
2022-10-23,Aston Villa,Brentford,4,0,H,11,3,0,0,18,18,30,91,1,30,34,28,95,1,2,4,6,20,0,8,6,4,12,0,0.299856106984675,0.2875122111076587,0.4126316819076662,A
2022-10-23,Leeds,Fulham,2,3,A,5,5,0,0,24,24,30,77,3,17,24,37,77,1,13,11,10,48,0,10,10,11,43,0,0.482756004585824,0.3007601582517757,0.2164838371624001,H
2022-10-23,Southampton,Arsenal,1,1,D,3,3,0,0,16,17,40,69,0,42,41,27,117,1,9,9,18,46,1,18,18,9,53,2,0.147517656170234,0.2101260275925466,0.6423563162372193,A
2022-10-23,Wolves,Leicester,0,4,A,5,4,0,0,14,14,34,69,2,20,34,35,84,0,10,4,7,26,0,16,7,4,42,2,0.2751301790189984,0.3335561073882153,0.3913137135927862,D
2022-10-23,Tottenham,Newcastle,1,2,A,5,5,0,0,43,44,16,112,1,36,30,22,98,0,23,24,11,57,0,5,11,24,22,3,0.6035427305971566,0.2176390480603211,0.1788182213425223,H
2022-10-24,West Ham,Bournemouth,2,0,H,4,3,0,0,19,21,27,71,1,20,17,39,52,2,12,20,16,45,1,12,16,20,50,1,0.6224076972487232,0.220478119682601,0.1571141830686757,H
2022-10-29,Leicester,Man City,0,1,A,5,5,0,0,23,37,33,86,0,49,67,19,129,0,3,14,30,35,0,27,30,14,75,0,0.133444656103697,0.1478108785098524,0.7187444653864505,A
2022-10-29,Bournemouth,Tottenham,2,3,A,4,7,0,0,20,17,40,55,2,40,40,17,111,1,1,4,20,15,0,19,20,4,54,0,0.1035899477164934,0.1958554494814178,0.7005546028020888,A
2022-10-29,Brentford,Wolves,1,1,D,3,4,0,1,30,33,30,92,1,14,12,35,66,1,6,6,4,8,2,6,4,6,4,0,0.6301550965953238,0.2220733391393143,0.1477715642653619,H
2022-10-29,Brighton,Chelsea,4,1,H,9,7,0,0,33,31,22,104,0,36,34,21,100,2,6,6,16,31,1,18,16,6,58,0,0.3803517865786971,0.2277444848360842,0.3919037285852186,A
