Combo,Accuracy
"('GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.21160409556313
"('PointLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",66.21160409556313
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.21160409556313
"('GoalScoredLast20', 'PointH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.21160409556313
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.21160409556313
"('GoalScoredLast20', 'GoalScoredH2HLast10', 'RedH2HLast10')",66.21160409556313
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'PointH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'ShotTargetH2HLast10')",66.21160409556313
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredLast20', 'ShotTargetH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",66.55290102389078
