Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2015-12-06,Newcastle,Liverpool,H,77,8.7,101,17.5,30,50
2015-12-07,Everton,Crystal Palace,D,97,16.4,94,16.8,50,33.33333333
2015-12-12,Bournemouth,Man United,H,62,9.1,76,19.8,0,0
2015-12-12,Crystal Palace,Southampton,H,95,16.5,99,14.9,0,66.66666667
2015-12-12,Man City,Swansea,H,135,20.3,80,9.2,75,12.5
2015-12-12,Norwich,Everton,D,75,8.2,93,15.5,12.5,37.5
2015-12-12,Sunderland,Watford,A,77,10.7,69,16.9,0,0
2015-12-12,West Ham,Stoke,D,78,14.8,82,18.4,20,40
2015-12-13,Aston Villa,Arsenal,A,64,4.2,133,21.9,20,70
2015-12-13,Liverpool,West Brom,D,97,15.7,65,14.6,40,40
2015-12-13,Tottenham,Newcastle,A,110,19.8,73,11,50,30
2015-12-14,Leicester,Chelsea,H,96,24.1,88,11.4,25,75
2015-12-19,Chelsea,Sunderland,H,89,10.3,73,9.5,70,20
2015-12-19,Everton,Leicester,A,89,15.4,99,25,25,0
2015-12-19,Man United,Norwich,A,77,18.3,74,8.4,75,25
2015-12-19,Newcastle,Aston Villa,D,73,13.3,62,3.7,60,10
2015-12-19,Southampton,Tottenham,A,98,13.8,116,18.3,30,60
2015-12-19,Stoke,Crystal Palace,A,77,17.9,97,18,25,50
2015-12-19,West Brom,Bournemouth,A,63,14.3,67,11.5,0,0
2015-12-20,Swansea,West Ham,D,81,7.5,85,14.5,16.66666667,50
2015-12-20,Watford,Liverpool,H,71,18.7,96,15.7,0,100
2015-12-21,Arsenal,Man City,H,128,22.8,136,21,30,30
2015-12-26,Aston Villa,West Ham,D,65,4,80,14.1,40,30
2015-12-26,Bournemouth,Crystal Palace,D,74,13.8,99,19.6,0,0
2015-12-26,Chelsea,Watford,D,89,11.9,75,20.2,100,0
2015-12-26,Liverpool,Leicester,H,92,14,97,25.9,62.5,12.5
2015-12-26,Man City,Sunderland,H,138,18.9,73,8.7,40,40
2015-12-26,Newcastle,Everton,A,74,13.3,89,13.7,30,60
2015-12-26,Southampton,Arsenal,H,100,12.4,124,24.1,10,50
2015-12-26,Stoke,Man United,H,79,16.4,70,16.4,10,70
2015-12-26,Swansea,West Brom,H,79,7.9,62,12.9,62.5,37.5
2015-12-26,Tottenham,Norwich,H,117,19.5,73,10.8,37.5,25
2015-12-28,Arsenal,Bournemouth,H,125,22,78,13.9,0,0
2015-12-28,Crystal Palace,Swansea,D,95,18.8,78,9.5,25,25
2015-12-28,Everton,Stoke,A,92,15.8,73,17.9,30,40
2015-12-28,Man United,Chelsea,D,72,14.9,88,12.1,30,40
2015-12-28,Norwich,Aston Villa,H,74,9.9,68,4.5,12.5,62.5
2015-12-28,Watford,Tottenham,A,75,19.7,124,21.1,0,50
