Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10
2015-10-24,Arsenal,Everton,2,1,H,5,5,0,1,43,36,14,143,2,23.300000000000008,32,27,22,91,1,15.900000000000002,19,12,9,65,0,50.0,7,9,12,45,0,10.0
2015-10-24,Aston Villa,Swansea,1,2,A,3,4,0,0,20,26,35,79,1,7.100000000000003,26,25,26,94,0,13.100000000000003,6,6,11,37,0,12.5,15,11,6,43,0,50.0
2015-10-24,Leicester,Crystal Palace,1,0,H,3,4,0,0,39,41,28,96,0,20.80000000000001,33,28,23,84,1,17.700000000000006,0,0,3,6,0,0.0,6,3,0,8,0,100.0
2015-10-24,Norwich,West Brom,0,1,A,3,4,0,0,14,22,43,87,1,8.2,25,20,28,68,2,14.400000000000002,13,12,7,40,0,50.0,10,7,12,57,0,37.5
2015-10-24,Stoke,Watford,0,2,A,1,3,0,0,27,26,21,81,3,16.700000000000003,19,19,31,73,1,11.600000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-10-24,West Ham,Chelsea,2,1,H,5,4,0,1,25,25,26,76,3,16.700000000000003,35,30,27,90,3,16.800000000000004,5,6,20,50,0,10.0,23,20,6,93,0,70.0
2015-10-25,Bournemouth,Tottenham,1,5,A,3,9,0,0,8,11,17,33,0,6.6,31,25,22,96,1,17.700000000000003,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-10-25,Liverpool,Southampton,1,1,D,2,3,0,1,27,20,28,99,3,13.700000000000005,27,31,25,99,1,15.0,15,11,11,71,0,50.0,15,11,11,52,0,50.0
2015-10-25,Man United,Man City,0,0,D,1,1,0,0,39,31,19,90,1,20.700000000000006,45,50,19,150,0,25.800000000000004,10,12,22,46,2,30.0,19,22,12,63,0,60.0
2015-10-25,Sunderland,Newcastle,3,0,H,3,8,0,1,16,17,34,69,2,6.900000000000001,10,20,40,73,6,7.5,18,14,10,52,3,50.0,9,10,14,74,1,20.0
2015-10-31,Chelsea,Liverpool,1,3,A,2,7,0,0,34,30,28,87,4,15.100000000000003,25,19,29,93,3,13.500000000000004,12,12,15,47,0,30.0,15,15,12,64,0,40.0
2015-10-31,Crystal Palace,Man United,0,0,D,5,1,0,0,33,28,23,85,1,16.2,37,30,19,86,1,19.800000000000008,1,3,12,15,2,0.0,16,12,3,44,0,83.33333333333334
2015-10-31,Man City,Norwich,2,1,H,5,3,0,1,43,48,19,142,0,24.400000000000006,14,21,40,86,1,7.8000000000000025,17,28,11,79,1,62.5,5,11,28,37,1,12.5
2015-10-31,Newcastle,Stoke,0,0,D,6,2,0,0,10,20,42,79,7,7.1,24,24,23,79,3,15.100000000000001,13,16,14,54,0,40.0,16,14,16,35,2,50.0
2015-10-31,Swansea,Arsenal,0,3,A,3,5,0,0,29,25,24,93,0,14.300000000000002,43,36,14,139,2,23.800000000000004,13,11,10,35,0,50.0,10,10,11,57,0,37.5
2015-10-31,Watford,West Ham,2,0,H,5,3,0,1,22,21,28,73,1,14.0,28,27,26,76,3,18.5,4,2,1,9,0,50.0,1,1,2,14,0,0.0
2015-10-31,West Brom,Leicester,2,3,A,6,5,0,0,28,20,26,71,2,16.500000000000004,41,42,28,96,0,21.700000000000006,3,3,3,8,0,50.0,3,3,3,9,0,50.0
2015-11-01,Everton,Sunderland,6,2,H,8,9,0,0,32,28,22,91,2,14.600000000000001,18,19,33,69,2,9.200000000000001,15,13,9,70,1,40.0,12,9,13,49,0,30.0
2015-11-01,Southampton,Bournemouth,2,0,H,2,2,1,0,25,31,26,99,2,14.4,8,12,22,36,0,6.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-11-02,Tottenham,Aston Villa,3,1,H,6,2,0,0,31,28,22,99,1,19.1,17,25,36,74,1,6.3000000000000025,25,20,5,85,2,80.0,4,5,20,35,2,10.0
2015-11-07,Bournemouth,Newcastle,0,1,A,5,1,0,0,8,12,24,38,0,5.800000000000001,11,20,39,81,6,7.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-11-07,Leicester,Watford,2,1,H,6,4,0,0,44,42,26,96,0,22.900000000000006,24,21,26,68,1,15.700000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-11-07,Man United,West Brom,2,0,H,3,0,0,1,35,27,19,84,1,18.8,25,21,29,72,2,14.900000000000002,18,21,14,75,0,50.0,9,14,21,50,1,20.0
2015-11-07,Norwich,Swansea,1,0,H,5,0,0,0,13,21,41,84,2,6.8000000000000025,29,25,26,93,0,13.500000000000004,11,13,12,43,0,50.0,5,12,13,41,0,16.666666666666664
2015-11-07,Stoke,Chelsea,1,0,H,2,4,0,0,25,24,22,79,3,15.000000000000002,31,28,29,86,4,13.300000000000002,5,5,18,35,1,10.0,23,18,5,86,0,70.0
2015-11-07,Sunderland,Southampton,0,1,A,3,4,0,0,18,21,35,76,2,8.3,27,32,25,96,3,16.3,10,9,19,41,0,20.0,16,19,9,69,1,40.0
2015-11-07,West Ham,Everton,1,1,D,5,4,0,0,28,27,25,78,4,17.200000000000003,32,31,24,90,2,15.700000000000003,3,11,19,34,3,0.0,24,19,11,59,1,70.0
2015-11-08,Arsenal,Tottenham,1,1,D,4,4,0,0,43,36,14,135,2,25.000000000000004,34,31,20,104,1,20.600000000000005,14,21,17,69,0,40.0,14,17,21,54,2,40.0
2015-11-08,Aston Villa,Man City,0,0,D,0,3,0,0,14,22,39,68,1,5.100000000000002,46,50,19,142,0,25.300000000000004,6,7,26,45,0,20.0,24,26,7,89,0,80.0
2015-11-08,Liverpool,Crystal Palace,1,2,A,4,4,0,0,25,21,30,95,3,15.000000000000002,31,25,22,86,1,15.400000000000004,7,11,13,32,0,33.33333333333333,10,13,11,26,0,50.0
2015-11-21,Chelsea,Norwich,1,0,H,7,2,0,0,28,26,29,80,4,11.700000000000003,16,20,37,86,2,9.4,20,18,4,74,0,75.0,2,4,18,28,1,0.0
