Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob
2015-10-17,Man City,Bournemouth,5,1,H,11,1,0,0,42,46,20,140,0,8,10,12,32,0,0,0,0,0,0,0,0,0,0,0,0.7426497943008137,0.16690290019120702,0.09044730550797923
2015-10-17,Southampton,Leicester,2,2,D,6,7,0,0,26,29,24,95,1,38,39,28,91,0,12,11,7,53,0,9,7,11,35,0,0.4482502985320947,0.254352046905692,0.2973976545622133
2015-10-17,Tottenham,Liverpool,0,0,D,4,3,0,0,33,28,24,99,1,29,22,29,101,3,13,14,20,65,1,16,20,14,65,2,0.4545755695927477,0.25955159377542986,0.2858728366318224
2015-10-17,Watford,Arsenal,0,3,A,1,6,0,0,20,20,29,78,1,43,35,14,141,2,0,1,5,6,0,6,5,1,15,0,0.11935051418408459,0.21701563126318418,0.6636338545527313
2015-10-17,West Brom,Sunderland,1,0,H,1,2,0,0,25,20,28,70,2,16,17,35,70,3,21,21,11,55,0,6,11,21,45,0,0.5388465118298349,0.2559243676078026,0.20522912056236245
2015-10-18,Newcastle,Norwich,6,2,H,6,6,0,0,10,15,38,72,6,17,21,37,84,1,12,9,9,63,2,9,9,9,39,1,0.32591497109917544,0.43986792488202614,0.23421710401879847
2015-10-19,Swansea,Stoke,0,1,A,2,2,0,0,29,26,25,94,0,27,26,21,81,3,11,12,11,35,0,11,11,12,32,1,0.43386229568485757,0.2243113231473073,0.34182638116783515
2015-10-24,Arsenal,Everton,2,1,H,5,5,0,1,43,36,14,143,2,32,27,22,91,1,19,12,9,65,0,7,9,12,45,0,0.5921248691232265,0.2626967826456074,0.1451783482311661
2015-10-24,Aston Villa,Swansea,1,2,A,3,4,0,0,20,26,35,79,1,26,25,26,94,0,6,6,11,37,0,15,11,6,43,0,0.2952158278430989,0.2988615703912554,0.4059226017656457
2015-10-24,Leicester,Crystal Palace,1,0,H,3,4,0,0,39,41,28,96,0,33,28,23,84,1,0,0,3,6,0,6,3,0,8,0,0.54747138874143,0.17694627123883364,0.2755823400197364
2015-10-24,Norwich,West Brom,0,1,A,3,4,0,0,14,22,43,87,1,25,20,28,68,2,13,12,7,40,0,10,7,12,57,0,0.4116809415036998,0.2741393422615261,0.3141797162347742
2015-10-24,Stoke,Watford,0,2,A,1,3,0,0,27,26,21,81,3,19,19,31,73,1,0,0,0,0,0,0,0,0,0,0,0.5527617240271732,0.27017700667308236,0.17706126929974444
2015-10-24,West Ham,Chelsea,2,1,H,5,4,0,1,25,25,26,76,3,35,30,27,90,3,5,6,20,50,0,23,20,6,93,0,0.38534666485993513,0.26507306781930756,0.34958026732075737
2015-10-25,Bournemouth,Tottenham,1,5,A,3,9,0,0,8,11,17,33,0,31,25,22,96,1,0,0,0,0,0,0,0,0,0,0,0.24738712016883618,0.25824462711688334,0.4943682527142804
2015-10-25,Liverpool,Southampton,1,1,D,2,3,0,1,27,20,28,99,3,27,31,25,99,1,15,11,11,71,0,15,11,11,52,0,0.2902640831305451,0.35583064441886575,0.35390527245058917
2015-10-25,Man United,Man City,0,0,D,1,1,0,0,39,31,19,90,1,45,50,19,150,0,10,12,22,46,2,19,22,12,63,0,0.16031393636378302,0.22596540051799305,0.6137206631182239
2015-10-25,Sunderland,Newcastle,3,0,H,3,8,0,1,16,17,34,69,2,10,20,40,73,6,18,14,10,52,3,9,10,14,74,1,0.5170016209114753,0.23497149679738516,0.24802688229113956
2015-10-31,Chelsea,Liverpool,1,3,A,2,7,0,0,34,30,28,87,4,25,19,29,93,3,12,12,15,47,0,15,15,12,64,0,0.47237729025627273,0.2895511802075357,0.23807152953619157
2015-10-31,Crystal Palace,Man United,0,0,D,5,1,0,0,33,28,23,85,1,37,30,19,86,1,1,3,12,15,2,16,12,3,44,0,0.3757026830227181,0.23833870886485203,0.3859586081124298
2015-10-31,Man City,Norwich,2,1,H,5,3,0,1,43,48,19,142,0,14,21,40,86,1,17,28,11,79,1,5,11,28,37,1,0.7753907483794694,0.15611218167534707,0.06849706994518337
2015-10-31,Newcastle,Stoke,0,0,D,6,2,0,0,10,20,42,79,7,24,24,23,79,3,13,16,14,54,0,16,14,16,35,2,0.288394708355592,0.40363266064052233,0.30797263100388556
2015-10-31,Swansea,Arsenal,0,3,A,3,5,0,0,29,25,24,93,0,43,36,14,139,2,13,11,10,35,0,10,10,11,57,0,0.1706004880534514,0.22669446716381267,0.602705044782736
2015-10-31,Watford,West Ham,2,0,H,5,3,0,1,22,21,28,73,1,28,27,26,76,3,4,2,1,9,0,1,1,2,14,0,0.4471225846505706,0.2185247947421308,0.33435262060729865
2015-10-31,West Brom,Leicester,2,3,A,6,5,0,0,28,20,26,71,2,41,42,28,96,0,3,3,3,8,0,3,3,3,9,0,0.3320590168498544,0.2502081726213758,0.4177328105287698
2015-11-01,Everton,Sunderland,6,2,H,8,9,0,0,32,28,22,91,2,18,19,33,69,2,15,13,9,70,1,12,9,13,49,0,0.5992218595790263,0.24210252197841017,0.1586756184425635
2015-11-01,Southampton,Bournemouth,2,0,H,2,2,1,0,25,31,26,99,2,8,12,22,36,0,0,0,0,0,0,0,0,0,0,0,0.6210116855002209,0.2467914295245193,0.13219688497525986
