Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-10-24,Leicester,Crystal Palace,1,0,H,M Dean,3,4,0,0,39,41,28,96,0,33,28,23,84,1,0,0,3,6,0,6,3,0,8,0
2015-10-24,Norwich,West Brom,0,1,A,K Friend,3,4,0,0,14,22,43,87,1,25,20,28,68,2,13,12,7,40,0,10,7,12,57,0
2015-10-24,Stoke,Watford,0,2,A,M Atkinson,1,3,0,0,27,26,21,81,3,19,19,31,73,1,0,0,0,0,0,0,0,0,0,0
2015-10-24,West Ham,Chelsea,2,1,H,J Moss,5,4,0,1,25,25,26,76,3,35,30,27,90,3,5,6,20,50,0,23,20,6,93,0
2015-10-25,Bournemouth,Tottenham,1,5,A,R East,3,9,0,0,8,11,17,33,0,31,25,22,96,1,0,0,0,0,0,0,0,0,0,0
2015-10-25,Liverpool,Southampton,1,1,D,A Marriner,2,3,0,1,27,20,28,99,3,27,31,25,99,1,15,11,11,71,0,15,11,11,52,0
2015-10-25,Man United,Man City,0,0,D,M Clattenburg,1,1,0,0,39,31,19,90,1,45,50,19,150,0,10,12,22,46,2,19,22,12,63,0
2015-10-25,Sunderland,Newcastle,3,0,H,R Madley,3,8,0,1,16,17,34,69,2,10,20,40,73,6,18,14,10,52,3,9,10,14,74,1
2015-10-31,Chelsea,Liverpool,1,3,A,M Clattenburg,2,7,0,0,34,30,28,87,4,25,19,29,93,3,12,12,15,47,0,15,15,12,64,0
2015-10-31,Crystal Palace,Man United,0,0,D,M Jones,5,1,0,0,33,28,23,85,1,37,30,19,86,1,1,3,12,15,2,16,12,3,44,0
