Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
2/1/2023,Brentford,Liverpool,138,144,168,462,9,1697,1625,826,6122,46,3,9,0,12,3,9,0,18
3/1/2023,Arsenal,Newcastle,1683,1625,927,5933,78,1026,988,1180,4168,73,55,51,2,167,7,12,2,64
3/1/2023,Everton,Brighton,1226,1147,1146,4676,84,282,250,292,871,18,12,16,0,36,9,12,1,27
3/1/2023,Leicester,Fulham,616,664,667,2045,35,623,613,790,2895,41,1,1,0,15,7,4,0,11
3/1/2023,Man United,Bournemouth,1746,1611,861,6038,53,181,196,261,610,9,7,5,0,14,1,2,1,8
4/1/2023,Southampton,Nottingham,733,733,890,2983,42,,,,,,,,,,,,,
4/1/2023,Leeds,West Ham,387,403,507,1515,25,961,980,1115,3762,59,6,8,0,46,15,9,1,39
4/1/2023,Aston Villa,Wolves,965,963,1100,3945,52,392,358,513,1572,20,6,11,0,37,15,14,0,30
4/1/2023,Crystal Palace,Tottenham,483,482,589,1620,17,1458,1406,1055,5576,58,16,16,0,45,16,9,3,43
5/1/2023,Chelsea,Man City,1750,1634,779,5952,63,1542,1591,878,5516,63,39,34,3,113,24,19,4,103
12/1/2023,Fulham,Chelsea,623,613,790,2895,41,1750,1634,779,5952,63,8,8,1,51,29,22,2,96
13/01/2023,Aston Villa,Leeds,965,963,1100,3945,52,387,403,507,1515,25,7,12,3,37,13,15,0,45
14/01/2023,Man United,Man City,1746,1611,861,6038,53,1542,1591,878,5516,63,24,26,3,117,33,34,1,111
14/01/2023,Brighton,Liverpool,282,250,292,871,18,1697,1625,826,6122,46,1,2,0,14,13,12,0,35
14/01/2023,Everton,Southampton,1226,1147,1146,4676,84,733,733,890,2983,42,40,29,0,88,4,10,1,57
14/01/2023,Nottingham,Leicester,,,,,,616,664,667,2045,35,,,,,,,,
14/01/2023,Wolves,West Ham,392,358,513,1572,20,961,980,1115,3762,59,13,8,0,43,7,6,0,38
14/01/2023,Brentford,Bournemouth,138,144,168,462,9,181,196,261,610,9,,,,,,,,
15/01/2023,Chelsea,Crystal Palace,1750,1634,779,5952,63,483,482,589,1620,17,30,29,0,93,6,8,0,26
15/01/2023,Newcastle,Fulham,1026,988,1180,4168,73,623,613,790,2895,41,22,16,2,119,13,12,2,65
15/01/2023,Tottenham,Arsenal,1458,1406,1055,5576,58,1683,1625,927,5933,78,39,40,0,140,18,26,5,117
18/01/2023,Crystal Palace,Man United,483,482,589,1620,17,1746,1611,861,6038,53,12,7,1,34,15,9,0,46
19/01/2023,Man City,Tottenham,1542,1591,878,5516,63,1458,1406,1055,5576,58,27,40,2,153,36,33,3,103
21/01/2023,Liverpool,Chelsea,1697,1625,826,6122,46,1750,1634,779,5952,63,27,26,0,154,30,26,4,96
21/01/2023,Bournemouth,Nottingham,181,196,261,610,9,,,,,,,,,,,,,
21/01/2023,Leicester,Brighton,616,664,667,2045,35,282,250,292,871,18,9,8,0,25,3,3,0,21
21/01/2023,Southampton,Aston Villa,733,733,890,2983,42,965,963,1100,3945,52,21,24,1,75,15,16,1,55
