Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards
5/1/2023,Chelsea,Man City,1750.0,1634.0,779.0,5952.0,63.0,1542.0,1591.0,878.0,5516.0,63.0
12/1/2023,Fulham,Chelsea,623.0,613.0,790.0,2895.0,41.0,1750.0,1634.0,779.0,5952.0,63.0
13/01/2023,Aston Villa,Leeds,965.0,963.0,1100.0,3945.0,52.0,387.0,403.0,507.0,1515.0,25.0
14/01/2023,Man United,Man City,1746.0,1611.0,861.0,6038.0,53.0,1542.0,1591.0,878.0,5516.0,63.0
14/01/2023,Brighton,Liverpool,282.0,250.0,292.0,871.0,18.0,1697.0,1625.0,826.0,6122.0,46.0
14/01/2023,Everton,Southampton,1226.0,1147.0,1146.0,4676.0,84.0,733.0,733.0,890.0,2983.0,42.0
14/01/2023,Nottingham,Leicester,,,,,,616.0,664.0,667.0,2045.0,35.0
14/01/2023,Wolves,West Ham,392.0,358.0,513.0,1572.0,20.0,961.0,980.0,1115.0,3762.0,59.0
14/01/2023,Brentford,Bournemouth,138.0,144.0,168.0,462.0,9.0,181.0,196.0,261.0,610.0,9.0
15/01/2023,Chelsea,Crystal Palace,1750.0,1634.0,779.0,5952.0,63.0,483.0,482.0,589.0,1620.0,17.0
15/01/2023,Newcastle,Fulham,1026.0,988.0,1180.0,4168.0,73.0,623.0,613.0,790.0,2895.0,41.0
15/01/2023,Tottenham,Arsenal,1458.0,1406.0,1055.0,5576.0,58.0,1683.0,1625.0,927.0,5933.0,78.0
18/01/2023,Crystal Palace,Man United,483.0,482.0,589.0,1620.0,17.0,1746.0,1611.0,861.0,6038.0,53.0
19/01/2023,Man City,Tottenham,1542.0,1591.0,878.0,5516.0,63.0,1458.0,1406.0,1055.0,5576.0,58.0
21/01/2023,Liverpool,Chelsea,1697.0,1625.0,826.0,6122.0,46.0,1750.0,1634.0,779.0,5952.0,63.0
21/01/2023,Bournemouth,Nottingham,181.0,196.0,261.0,610.0,9.0,,,,,
21/01/2023,Leicester,Brighton,616.0,664.0,667.0,2045.0,35.0,282.0,250.0,292.0,871.0,18.0
21/01/2023,Southampton,Aston Villa,733.0,733.0,890.0,2983.0,42.0,965.0,963.0,1100.0,3945.0,52.0
21/01/2023,West Ham,Everton,961.0,980.0,1115.0,3762.0,59.0,1226.0,1147.0,1146.0,4676.0,84.0
21/01/2023,Crystal Palace,Newcastle,483.0,482.0,589.0,1620.0,17.0,1026.0,988.0,1180.0,4168.0,73.0
22/01/2023,Leeds,Brentford,387.0,403.0,507.0,1515.0,25.0,138.0,144.0,168.0,462.0,9.0
22/01/2023,Man City,Wolves,1542.0,1591.0,878.0,5516.0,63.0,392.0,358.0,513.0,1572.0,20.0
22/01/2023,Arsenal,Man United,1683.0,1625.0,927.0,5933.0,78.0,1746.0,1611.0,861.0,6038.0,53.0
23/01/2023,Fulham,Tottenham,623.0,613.0,790.0,2895.0,41.0,1458.0,1406.0,1055.0,5576.0,58.0
3/2/2023,Chelsea,Fulham,1750.0,1634.0,779.0,5952.0,63.0,623.0,613.0,790.0,2895.0,41.0
4/2/2023,Everton,Arsenal,1226.0,1147.0,1146.0,4676.0,84.0,1683.0,1625.0,927.0,5933.0,78.0
4/2/2023,Aston Villa,Leicester,965.0,963.0,1100.0,3945.0,52.0,616.0,664.0,667.0,2045.0,35.0
4/2/2023,Brentford,Southampton,138.0,144.0,168.0,462.0,9.0,733.0,733.0,890.0,2983.0,42.0
4/2/2023,Brighton,Bournemouth,282.0,250.0,292.0,871.0,18.0,181.0,196.0,261.0,610.0,9.0
4/2/2023,Man United,Crystal Palace,1746.0,1611.0,861.0,6038.0,53.0,483.0,482.0,589.0,1620.0,17.0
4/2/2023,Wolves,Liverpool,392.0,358.0,513.0,1572.0,20.0,1697.0,1625.0,826.0,6122.0,46.0
4/2/2023,Newcastle,West Ham,1026.0,988.0,1180.0,4168.0,73.0,961.0,980.0,1115.0,3762.0,59.0
5/2/2023,Nottingham,Leeds,,,,,,387.0,403.0,507.0,1515.0,25.0
5/2/2023,Tottenham,Man City,1458.0,1406.0,1055.0,5576.0,58.0,1542.0,1591.0,878.0,5516.0,63.0
8/2/2023,Man United,Leeds,1746.0,1611.0,861.0,6038.0,53.0,387.0,403.0,507.0,1515.0,25.0
11/2/2023,West Ham,Chelsea,961.0,980.0,1115.0,3762.0,59.0,1750.0,1634.0,779.0,5952.0,63.0
11/2/2023,Arsenal,Brentford,1683.0,1625.0,927.0,5933.0,78.0,138.0,144.0,168.0,462.0,9.0
11/2/2023,Crystal Palace,Brighton,483.0,482.0,589.0,1620.0,17.0,282.0,250.0,292.0,871.0,18.0
11/2/2023,Fulham,Nottingham,623.0,613.0,790.0,2895.0,41.0,,,,,
11/2/2023,Leicester,Tottenham,616.0,664.0,667.0,2045.0,35.0,1458.0,1406.0,1055.0,5576.0,58.0
11/2/2023,Southampton,Wolves,733.0,733.0,890.0,2983.0,42.0,392.0,358.0,513.0,1572.0,20.0
11/2/2023,Bournemouth,Newcastle,181.0,196.0,261.0,610.0,9.0,1026.0,988.0,1180.0,4168.0,73.0
12/2/2023,Leeds,Man United,387.0,403.0,507.0,1515.0,25.0,1746.0,1611.0,861.0,6038.0,53.0
12/2/2023,Man City,Aston Villa,1542.0,1591.0,878.0,5516.0,63.0,965.0,963.0,1100.0,3945.0,52.0
13/02/2023,Liverpool,Everton,1697.0,1625.0,826.0,6122.0,46.0,1226.0,1147.0,1146.0,4676.0,84.0
15/02/2023,Arsenal,Man City,1683.0,1625.0,927.0,5933.0,78.0,1542.0,1591.0,878.0,5516.0,63.0
18/02/2023,Aston Villa,Arsenal,965.0,963.0,1100.0,3945.0,52.0,1683.0,1625.0,927.0,5933.0,78.0
18/02/2023,Brentford,Crystal Palace,138.0,144.0,168.0,462.0,9.0,483.0,482.0,589.0,1620.0,17.0
18/02/2023,Brighton,Fulham,282.0,250.0,292.0,871.0,18.0,623.0,613.0,790.0,2895.0,41.0
18/02/2023,Chelsea,Southampton,1750.0,1634.0,779.0,5952.0,63.0,733.0,733.0,890.0,2983.0,42.0
